year,ha_na,N,freq,Total clade percentage,,Diff. b/t C-IVA and 2010.1,,% N2 2002B of 2010.1s
2010,C_IVA-2002,31,0.96875,,,,,
2010,C_IVA-2002A,1,0.03125,,,,,
2011,C_IVA-2002,8,0.091954023,,,,,
2011,C_IVA-2002A,78,0.896551724,,,,,
2011,C_IVA-2002B,1,0.011494253,,,,,
2012,2010-human_like-NA-human-to-swine-2016,1,0.008474576,,,,,
2012,C_IVA-2002A,40,0.338983051,,,,,
2012,C_IVA-2002B,77,0.652542373,,,,,
2013,2010-human_like-classical,4,0.021857923,,,,,
2013,C_IVA-2002A,37,0.202185792,,,,,
2013,C_IVA-2002B,142,0.775956284,,,,,
2014,2010-human_like-2002A,2,0.009615385,,,,,
2014,2010-human_like-2002B,2,0.009615385,,,,,
2014,2010-human_like-classical,7,0.033653846,,,,,
2014,C_IVA-2002A,18,0.086538462,,,,,
2014,C_IVA-2002B,178,0.855769231,,,,,
2014,C_IVA-pandemic,1,0.004807692,,,,,
2015,2010-human_like-2002A,23,0.114427861,,,,,
2015,2010-human_like-2002B,16,0.07960199,,,,,
2015,C_IVA-2002A,8,0.039800995,,,,,
2015,C_IVA-2002B,153,0.76119403,,,,,
2015,C_IVA-classical,1,0.004975124,,,,,
2016,2010-human_like-1998B,1,0.003412969,0.563139932,,,,
2016,2010-human_like-2002A,141,0.481228669,,,0.126279864,,
2016,2010-human_like-2002B,17,0.058020478,,,,,
2016,2010-human_like-classical,6,0.020477816,,,,,
2016,C_IVA-2002A,4,0.013651877,0.436860068,,,,
2016,C_IVA-2002B,124,0.423208191,,,,,
2017,2010-human_like-,1,0.00255102,0.923469386,,,,
2017,2010-human_like-2002A,77,0.196428571,,,0.846938774,,0.783098592
2017,2010-human_like-2002B,278,0.709183673,,,,,
2017,2010-human_like-classical,6,0.015306122,,,,,
2017,C_IVA-2002A,10,0.025510204,0.076530612,,,,
2017,C_IVA-2002B,20,0.051020408,,,,,
2018,2010-human_like-,1,0.004149378,0.804979253,,,,
2018,2010-human_like-1998,4,0.01659751,,,0.609958506,,0.730569948
2018,2010-human_like-2002A,48,0.199170124,,,,,
2018,2010-human_like-2002B,141,0.585062241,,,,,
2018,C_IVA-2002A,28,0.116182573,0.195020747,,,,
2018,C_IVA-2002B,19,0.078838174,,,,,
2019,2010-human_like-1998,3,0.01119403,0.623134329,,,,0.790419162
2019,2010-human_like-1998B,2,0.007462687,,,0.246268657,,
2019,2010-human_like-2002A,30,0.111940299,,,,,
2019,2010-human_like-2002B,132,0.492537313,,,,,
2019,C_IVA-2002A,18,0.067164179,0.376865672,,,,
2019,C_IVA-2002B,83,0.309701493,,,,,
2020,2010-human_like-1998,1,0.003164557,0.408227849,,,,0.666666667
2020,2010-human_like-1998B,2,0.006329114,,,,,
2020,2010-human_like-2002A,36,0.113924051,,,-0.183544303,,
2020,2010-human_like-2002B,86,0.272151899,,,,,
2020,2010-human_like-classical,3,0.009493671,,,,,
2020,2010-human_like-pandemic,1,0.003164557,,,,,
2020,C_IVA-1998B,1,0.003164557,0.591772152,,,,
2020,C_IVA-2002A,8,0.025316456,,,,,
2020,C_IVA-2002B,177,0.560126582,,,,,
2020,C_IVA-pandemic,1,0.003164557,,,,,
2021,2010-human_like-2002A,6,0.090909091,0.378787879,,,,0.72
2021,2010-human_like-2002B,18,0.272727273,,,-0.242424242,,
2021,2010-human_like-pandemic,1,0.015151515,,,,,
2021,C_IVA-2002A,5,0.075757576,0.621212121,,,,
2021,C_IVA-2002B,36,0.545454545,,,,,
