strain,date,state,most similar blast clade
A/swine/Montana/21/2012,9/14/2012,Montana,C_IV
A/swine/Wyoming/A02245222/2019,8/23/2019,Wyoming,C_IVB
A/swine/Minnesota/02981/2010,2/22/2010,Minnesota,C_IV
A/swine/Minnesota/A02245188/2019,6/28/2019,Minnesota,C_IVB
A/swine/Iowa/A01667087/2017,3/27/2017,Iowa,C_IVB
A/swine/Iowa/A02524874/2020,11/5/2020,Iowa,C_IVB
A/swine/North_Carolina/A02525210/2021,2/24/2021,North_Carolina,C_IVA
A/swine/Iowa/A02525206/2021,2/24/2021,Iowa,C_IVA
A/swine/Iowa/A02524878/2020,11/9/2020,Iowa,C_IVA
A/swine/Minnesota/A02257619/2018,9/20/2018,Minnesota,C_IV
A/swine/Iowa/A02525263/2021,3/16/2021,Iowa,C_IVA
A/swine/North_Carolina/A02525218/2021,2/24/2021,North_Carolina,C_IVA
A/swine/North_Carolina/A02525094/2021,1/15/2021,North_Carolina,C_IVA
A/swine/Indiana/A01812314/2020,12/14/2020,Indiana,C_IVA
A/swine/Nebraska/A02524769/2020,10/22/2020,Nebraska,C_IVA
A/swine/Minnesota/A02245583/2020,4/7/2020,Minnesota,C_IVB
A/swine/Illinois/A02479007/2020,1/21/2020,Illinois,C_IVB
A/swine/North_Carolina/A02525158/2021,2/5/2021,North_Carolina,C_IVA
A/swine/Iowa/A02525023/2020,12/29/2020,Iowa,C_IVA
A/swine/Iowa/A02478999/2020,1/14/2020,Iowa,C_IVB
A/swine/North_Carolina/A02525064/2021,1/13/2021,North_Carolina,C_IVA
A/swine/Iowa/A01076309/2010,9/20/2010,Iowa,C_IV
A/swine/Iowa/A02525251/2021,3/10/2021,Iowa,C_IVA
A/swine/North_Carolina/A02525198/2021,2/22/2021,North_Carolina,C_IVA
A/swine/Iowa/A02525108/2021,1/22/2021,Iowa,C_IVA
A/swine/Minnesota/A02245776/2020,11/2/2020,Minnesota,C_IVA
A/swine/Iowa/13G060/2013,7/19/2013,Iowa,C_IV
A/swine/Iowa/A02525305/2021,3/25/2021,Iowa,C_IVA
A/swine/Iowa/A02525161/2021,2/10/2021,Iowa,C_IV
A/swine/Indiana/A01812305/2020,4/24/2020,Indiana,C_IVA
