Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02479149	2020-03-19	IL	H1N2	A/swine/Illinois/A02479149/2020	alpha	NA	NA	TX98	TVVTPT	TRUE
A02524521	2020-07-29	IL	H3N2	A/swine/Illinois/A02524521/2020	NA	2010.1	NA	1998B	TVVTPT	TRUE
A02524528	2020-08-07	IL	H1N2	A/swine/Illinois/A02524528/2020	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02479119	2020-03-05	IN	H1N2	A/swine/Indiana/A02479119/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02479148	2020-03-18	IN	H3N2	A/swine/Indiana/A02479148/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479167	2020-03-17	IN	H1N1	A/swine/Indiana/A02479167/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02524527	2020-08-06	IN	H1N2	A/swine/Indiana/A02524527/2020	delta2	NA	NA	1998B	NA	FALSE
A02524531	2020-08-10	IN	H1N1	A/swine/Indiana/A02524531/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02524539	2020-08-07	IN	H3N2	A/swine/Indiana/A02524539/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A01678631	2020-09-03	IA	H1N1	A/swine/Iowa/A01678631/2020	gamma	NA	Classical	NA	NA	FALSE
A02479109	2020-03-02	IA	H1N2	A/swine/Iowa/A02479109/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02479113	2020-03-03	IA	H1N1	A/swine/Iowa/A02479113/2020	delta1a	NA	Classical	NA	TTTTPT	TRUE
A02479117	2020-03-05	IA	H1N1	A/swine/Iowa/A02479117/2020	pandemic	NA	Pandemic	NA	PPPPPT	TRUE
A02479129	2020-03-12	IA	H1N1	A/swine/Iowa/A02479129/2020	gamma	NA	Classical	NA	VVVPPT	TRUE
A02479151	2020-03-19	IA	H1N1	A/swine/Iowa/A02479151/2020	delta1a	NA	Classical	NA	TTTTPT	TRUE
A02479154	2020-03-19	IA	H3N2	A/swine/Iowa/A02479154/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479174	2020-03-25	IA	H1N1	A/swine/Iowa/A02479174/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524499	2020-07-20	IA	H1N1	A/swine/Iowa/A02524499/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02524501	2020-07-24	IA	H1N2	A/swine/Iowa/A02524501/2020	delta2	NA	NA	1998B	NA	FALSE
A02524513	2020-07-31	IA	H1N1	A/swine/Iowa/A02524513/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524524	2020-08-05	IA	H1N1	A/swine/Iowa/A02524524/2020	gamma	NA	Classical	NA	NA	FALSE
A02524526	2020-08-04	IA	H1N2	A/swine/Iowa/A02524526/2020	delta2	NA	NA	1998B	NA	FALSE
A02524534	2020-08-12	IA	H1N2	A/swine/Iowa/A02524534/2020	delta1b	NA	NA	TX98	VVVPPT	TRUE
A02524537	2020-08-06	IA	H1N2	A/swine/Iowa/A02524537/2020	delta2	NA	NA	1998B	NA	FALSE
A02524543	2020-08-13	IA	H3N2	A/swine/Iowa/A02524543/2020	NA	2010.1	NA	2002B	NA	FALSE
A02524545	2020-08-14	IA	H1N1	A/swine/Iowa/A02524545/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02524547	2020-08-17	IA	H1N1	A/swine/Iowa/A02524547/2020	gamma	NA	Classical	NA	NA	FALSE
A02524548	2020-08-17	IA	H1N1	A/swine/Iowa/A02524548/2020	gamma	NA	Classical	NA	NA	FALSE
A02524549	2020-08-11	IA	H1N2	A/swine/Iowa/A02524549/2020	delta1a	NA	NA	2002B	NA	FALSE
A02524550	2020-08-18	IA	H1N1	A/swine/Iowa/A02524550/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524551	2020-08-18	IA	H1N1	A/swine/Iowa/A02524551/2020	gamma	NA	Classical	NA	NA	FALSE
A02524553	2020-08-20	IA	H3N2	A/swine/Iowa/A02524553/2020	NA	IV-A	NA	2002B	NA	FALSE
A02524554	2020-08-21	IA	H1N1	A/swine/Iowa/A02524554/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02524555	2020-08-21	IA	H1N2	A/swine/Iowa/A02524555/2020	delta2	NA	NA	1998B	NA	FALSE
A02524556	2020-08-19	IA	H3N2	A/swine/Iowa/A02524556/2020	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02524560	2020-08-20	IA	H3N2	A/swine/Iowa/A02524560/2020	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02524561	2020-08-21	IA	H3N2	A/swine/Iowa/A02524561/2020	NA	IV-A	NA	2002B	NA	FALSE
A02524563	2020-08-24	IA	H1N1	A/swine/Iowa/A02524563/2020	gamma	NA	Classical	NA	NA	FALSE
A02524565	2020-08-25	IA	H1N2	A/swine/Iowa/A02524565/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524566	2020-08-25	IA	H1N2	A/swine/Iowa/A02524566/2020	delta1a	NA	NA	2002B	NA	FALSE
A02524571	2020-08-26	IA	H1N1	A/swine/Iowa/A02524571/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524572	2020-08-26	IA	H3N2	A/swine/Iowa/A02524572/2020	NA	2010.2	NA	2016	TTTTPT	TRUE
A02524575	2020-08-27	IA	H1N1	A/swine/Iowa/A02524575/2020	gamma	NA	Classical	NA	NA	FALSE
A02245531	2020-03-12	KS	H1N2	A/swine/Kansas/A02245531/2020	alpha	NA	NA	2002B	TTPPPT	TRUE
A02245535	2020-03-19	MN	H1N1	A/swine/Minnesota/A02245535/2020	gamma2-beta-like	NA	MN99	NA	VVVPPT	TRUE
A02245569	2020-03-31	MN	H1N1	A/swine/Minnesota/A02245569/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02245570	2020-03-31	MN	H1N1	A/swine/Minnesota/A02245570/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245684	2020-08-12	MN	H3N2	A/swine/Minnesota/A02245684/2020	NA	2010.1	NA	2002B	NA	FALSE
A02245685	2020-08-12	MN	H1N1	A/swine/Minnesota/A02245685/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245690	2020-08-17	MN	H3N2	A/swine/Minnesota/A02245690/2020	NA	I	NA	TX98	VVVPPT	TRUE
A02245692	2020-08-17	MN	H1N1	A/swine/Minnesota/A02245692/2020	gamma	NA	Classical	NA	NA	FALSE
A02245696	2020-08-20	MN	H1N1	A/swine/Minnesota/A02245696/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02245699	2020-08-26	MN	H3N2	A/swine/Minnesota/A02245699/2020	NA	IV-I	NA	2002B	TTPTPT	TRUE
A02245705	2020-07-29	MN	H1N2	A/swine/Minnesota/A02245705/2020	delta2	NA	NA	1998B	NA	FALSE
A02245706	2020-07-30	MN	H1N2	A/swine/Minnesota/A02245706/2020	delta2	NA	NA	1998B	TTTPPT	TRUE
A02524500	2020-07-17	MN	H1N1	A/swine/Minnesota/A02524500/2020	pandemic	NA	Pandemic	NA	PPPTPT	TRUE
A02524533	2020-08-07	MN	H1N1	A/swine/Minnesota/A02524533/2020	gamma	NA	Classical	NA	NA	FALSE
A02524567	2020-08-26	MN	H1N2	A/swine/Minnesota/A02524567/2020	delta2	NA	NA	1998B	NA	FALSE
A02479155	2020-03-19	MO	H3N2	A/swine/Missouri/A02479155/2020	NA	I	NA	TX98	VVVVVV	TRUE
A02524523	2020-07-23	MO	H1N2	A/swine/Missouri/A02524523/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
A02524544	2020-08-14	MO	H3N2	A/swine/Missouri/A02524544/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524570	2020-08-25	MO	H1N2	A/swine/Missouri/A02524570/2020	delta2	NA	NA	1998B	NA	FALSE
A01378046	2020-06-19	NE	H1N1	A/swine/Nebraska/A01378046/2020	pandemic	NA	Pandemic	NA	P-PPPP	FALSE
A02245526	2020-03-05	NE	H3N2	A/swine/Nebraska/A02245526/2020	NA	2010.1	NA	2002A	TTTPPT	TRUE
A02524532	2020-08-12	NE	H1N1	A/swine/Nebraska/A02524532/2020	pandemic	NA	Pandemic	NA	TTTPPT	TRUE
A02524569	2020-08-26	NE	H3N2	A/swine/Nebraska/A02524569/2020	NA	2010.1	NA	2002A	TTTPPT	TRUE
A02245682	2020-08-04	NC	H3N2	A/swine/North_Carolina/A02245682/2020	NA	IV-A	NA	2002B	NA	FALSE
A02245686	2020-08-14	NC	H1N1	A/swine/North_Carolina/A02245686/2020	pandemic	NA	Classical	NA	PPPPPP	TRUE
A02245687	2020-08-12	NC	H3N2	A/swine/North_Carolina/A02245687/2020	NA	IV-A	NA	2002B	NA	FALSE
A02245693	2020-08-19	NC	H1N2	A/swine/North_Carolina/A02245693/2020	delta2	NA	NA	1998B	TTTTPT	TRUE
