strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/Ohio/10SW215/2010|2010|Ohio	2010-06-01	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/9622/2011|2011|Indiana	2011-06-01	Indiana	?	?	?	?	?	?	?								?
A/swine/North_Carolina/157671/2015|2015|North_Carolina	2015-06-01	North Carolina	?	?	?	pdm	2002B.2	pdm	TRIG								?
A/swine/Ohio/10SW130/2010|2010|Ohio	2010-06-01	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW127/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW126/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW133/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW134/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW122/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW135/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW131/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW137/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW136/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW132/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW125/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW121/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW139/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW128/2010|08/12/2010|Ohio	2010-08-12	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW156/2010|08/19/2010|Ohio	2010-08-19	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW204/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW209/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW214/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW207/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW219/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW202/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW213/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW203/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW216/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW206/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW212/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW220/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW210/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW218/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW208/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW205/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/10SW211/2010|08/24/2010|Ohio	2010-08-24	Ohio	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Minnesota/A01076999/2010|09/22/2010|Minnesota	2010-09-22	Minnesota	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A00968321/2010|10/18/2010|Indiana	2010-10-18	Indiana	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A00968322/2010|10/20/2010|Indiana	2010-10-20	Indiana	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Illinois/A01076719/2010|11/01/2010|Illinois	2010-11-01	Illinois	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Minnesota/A01134337/2010|11/17/2010|Minnesota	2010-11-17	Minnesota	TRIG	TRIG	TRIG	TRIG	2002A	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A01049091/2010|11/18/2010|Indiana	2010-11-18	Indiana	TRIG	TRIG	TRIG	TRIG	2002A.2	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/North_Carolina/A01049436/2011|01/19/2011|North_Carolina	2011-01-19	North Carolina	TRIG	TRIG	TRIG	TRIG	2002A.2	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A01049653/2011|03/08/2011|Indiana	2011-03-08	Indiana	TRIG	TRIG	TRIG	TRIG	2002A.2	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A01049744/2011|03/23/2011|Indiana	2011-03-23	Indiana	TRIG	TRIG	TRIG	TRIG	2002A.2	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Indiana/A01049745/2011|03/23/2011|Indiana	2011-03-23	Indiana	TRIG	TRIG	TRIG	TRIG	2002A.2	TRIG	TRIG	T	T	T	T	2	T	T	TTTTTT
A/swine/Ohio/11SW97/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW108/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW93/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW87/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW98/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW95/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW119/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW109/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW115/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW94/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW114/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW103/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW112/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW113/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW96/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW118/2011|08/05/2011|Ohio	2011-08-05	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW196/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW166/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW173/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW172/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW197/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Ohio/11SW171/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	?	TRIG	TRIG	T	T	T	T	?	T	T	TTTTTT
A/swine/Ohio/11SW178/2011|08/08/2011|Ohio	2011-08-08	Ohio	TRIG	TRIG	TRIG	TRIG	?	pdm	TRIG	T	T	T	T	?	P	T	TTTTPT
