Defline,Subtype,US Clade,Global Clade
>A/swine/Alabama/D0383/2012|12/11/2012|Alabama|6|NA,N2,2002A,2002A
>A/swine/Arizona/A02524632/2020|09/11/2020|Arizona|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01476939/2014|11/10/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01555074/2014|11/24/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01555090/2014|12/02/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01555162/2014|12/11/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01671574/2016|12/21/2016|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01797066/2015|10/29/2015|Arkansas|6|NA,N2,2002A,2002A
>A/swine/Arkansas/A01797067/2015|10/29/2015|Arkansas|6|NA,N2,2002A,2002A
>A/swine/Arkansas/A01798224/2015|12/01/2015|Arkansas|6|NA,N2,2002A,2002A
>A/swine/Arkansas/A01840096/2014|12/09/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01840147/2014|12/12/2014|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01857979/2015|10/26/2015|Arkansas|6|NA,N2,2002B,2002B
>A/swine/Arkansas/A01945350/2015|09/30/2015|Arkansas|6|NA,N2,2002A,2002A
>A/swine/Arkansas/A01945580/2015|10/13/2015|Arkansas|6|NA,N2,2002A,2002A
>A/swine/Arkansas/A02139135/2017|12/19/2017|Arkansas|6|NA,N2,2002A,2002A
>A/swine/California/A00968949/2014|07/02/2014|California|6|NA,N2,2002B,2002B
>A/swine/California/A01104141/2020|02/12/2020|California|6|NA,N2,2002B,2002B
>A/swine/California/A01104142/2020|08/25/2020|California|6|NA,N2,2002B,2002B
>A/swine/Colorado/A01775092/2016|05/11/2016|Colorado|6|NA,N2,2002B,2002B
>A/swine/Colorado/A01785738/2018|11/05/2018|Colorado|6|NA,N2,1998,1998
>A/swine/Florida/A01104089/2015|11/17/2015|Florida|6|NA,N2,2002B,2002B
>A/swine/Ilinois/A02090306/2015|07/21/2015|Unknown|6|NA,N2,2002B,2002B
